"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2022, Alberta",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022
4811,4811056,Fort Saskatchewan4 7,CY,25052,25875,26476,27024,27391,27650,28045
4811,4811059,Sturgeon County6 7,MD,21075,21148,21192,21039,20937,20903,20945
4811,4811061,Edmonton3 7,CY,964334,983091,1003307,1027326,1047988,1057574,1087803
4811,4811062,St. Albert6 7,CY,67324,68017,68591,69006,69544,69766,70422
4811,4811064,Gibbons,T,3260,3224,3168,3142,3091,3064,3025
4811,4811065,Redwater,T,2110,2078,2108,2130,2155,2159,2160
4811,4811066,Bon Accord,T,1566,1572,1577,1548,1512,1479,1481
4811,4811068,Morinville,T,10164,10258,10319,10468,10452,10443,10498
4811,4811069,Legal,T,1385,1399,1406,1381,1337,1350,1424
4811,4811801,Ermineskin 138,IRI,2535,2498,2523,2542,2538,2495,2457
4811,4811802,Pigeon Lake 138A,IRI,436,437,438,439,439,437,438
4811,4811803,Louis Bull 138B,IRI,1215,1265,1298,1327,1353,1366,1359
4811,4811804,Stony Plain 135,IRI,1761,1771,1799,1813,1841,1853,1884
4811,4811805,Alexander 134,IRI,1129,1139,1127,1140,1148,1151,1163
4811,4811806,Wabamun 133A,IRI,1634,1649,1666,1673,1681,1682,1675
4811,4811807,Wabamun 133B,IRI,31,30,31,31,31,31,32
4812,4812002,Cold Lake3 7,CY,15522,15443,15343,15331,15289,15180,15546
4812,4812004,Bonnyville No. 87 1 3 6 7,MD,13077,13123,13163,13160,13177,13245,13085
4812,4812009,Bonnyville 1 7,T,6114,5925,5862,5853,5753,5750,5915
4812,4812011,Bonnyville Beach,SV,86,86,90,93,96,96,92
4812,4812012,Glendon,VL,506,492,492,470,466,448,445
4812,4812013,Pelican Narrows,SV,154,152,154,148,152,153,153
4812,4812014,St. Paul County No. 19,MD,6155,6166,6141,6121,6098,6120,6073
4812,4812016,Elk Point,T,1487,1404,1364,1279,1192,1182,1175
4812,4812018,St. Paul,T,5978,5939,6009,6012,5965,5918,5771
4812,4812020,Horseshoe Bay,SV,50,50,51,51,53,54,55
4812,4812022,Smoky Lake County,MD,4192,4190,4143,4136,4119,4099,4096
4812,4812024,Vilna,VL,295,295,286,286,285,286,299
4812,4812026,Waskatenau,VL,191,200,190,201,211,227,225
4812,4812029,Smoky Lake,T,979,942,942,913,919,916,944
4812,4812037,Lac la Biche County,SM,8522,8445,8334,8320,8213,8148,8187
4812,4812038,Improvement District No. 3496 7,ID,0,0,0,0,1,1,--
4812,4812802,Unipouheos 121,IRI,935,919,913,892,905,896,914
4812,4812804,Puskiakiwenin 122,IRI,555,567,569,573,568,564,564
4812,4812806,Saddle Lake 125,IRI,4039,4076,4062,4029,4028,3992,4001
4812,4812808,White Fish Lake 128,IRI,1351,1356,1326,1342,1334,1336,1328
4812,4812810,Cold Lake 149,IRI,689,700,702,703,710,714,713
4812,4812811,Kehewin 123,IRI,994,996,973,976,982,967,961
4812,4812813,Cold Lake 149A,IRI,41,43,43,42,42,41,39
4812,4812815,Cold Lake 149B,IRI,167,166,169,169,169,169,170
4812,4812828,Beaver Lake 131,IRI,427,432,433,433,432,424,418
4812,4812840,Heart Lake 167,IRI,190,191,193,195,197,198,197
4813,4813001,Lac Ste. Anne County,MD,11096,11074,11174,11115,11039,11150,11325
4813,4813002,Mayerthorpe,T,1348,1255,1247,1219,1189,1139,1100
4813,4813003,Nakamun Park,SV,97,99,97,98,97,96,95
4813,4813005,Val Quentin,SV,256,257,264,262,263,270,266
4813,4813006,West Cove,SV,152,155,161,160,175,178,194
4813,4813007,Yellowstone,SV,140,140,127,123,123,121,125
4813,4813008,Ross Haven,SV,163,159,157,159,147,141,144
4813,4813009,Castle Island,SV,10,10,10,10,10,10,9
4813,4813010,Silver Sands,SV,163,171,166,165,152,163,161
4813,4813011,Sunset Point,SV,172,169,170,160,160,164,159
4813,4813012,Alberta Beach,VL,1044,1051,1092,1066,1038,1060,1097
4813,4813013,Birch Cove,SV,45,45,45,46,46,45,45
4813,4813014,Onoway,T,1047,996,946,886,850,853,927
4813,4813015,South View,SV,68,65,68,68,68,61,59
4813,4813016,Sandy Beach,SV,284,269,270,271,260,274,270
4813,4813017,Sunrise Beach,SV,138,137,137,136,141,139,131
4813,4813018,Barrhead County No. 11,MD,6440,6413,6375,6343,6344,6350,6357
4813,4813019,Barrhead,T,4667,4634,4647,4653,4610,4537,4591
4813,4813028,Westlock County,MD,7369,7339,7305,7213,7145,7207,7229
4813,4813029,Woodlands County4 7,MD,4859,4821,4821,4851,4818,4834,4830
4813,4813030,Whitecourt4 7,T,10543,10341,10311,10147,9997,9760,9586
4813,4813031,Westlock,T,5193,5111,5053,4957,4916,4860,4802
4813,4813032,Clyde,VL,439,427,426,423,454,460,434
4813,4813033,Larkspur,SV,45,44,45,47,47,50,50
4813,4813036,Thorhild County,MD,3317,3285,3211,3208,3163,3158,3075
4813,4813044,Athabasca County,MD,8044,7990,7913,7814,7738,7695,7663
4813,4813045,Mewatha Beach,SV,90,90,93,91,88,91,89
4813,4813046,Boyle,VL,864,824,834,842,828,786,837
4813,4813047,Sunset Beach,SV,49,49,49,52,53,53,53
4813,4813048,Athabasca,T,3031,2918,2892,2886,2834,2812,2815
4813,4813049,Island Lake,SV,232,240,235,227,225,234,220
4813,4813051,Island Lake South,SV,62,62,63,58,57,56,53
4813,4813053,Bondiss,SV,111,109,110,102,101,109,109
4813,4813055,South Baptiste,SV,67,67,69,67,61,65,67
4813,4813057,West Baptiste,SV,38,37,35,34,35,35,33
4813,4813061,Whispering Hills,SV,145,145,152,144,138,135,147
4813,4813811,Alexis 133,IRI,777,800,803,809,829,838,832
4813,4813829,Alexander 134B,IRI,5,5,5,5,5,5,5
4814,4814003,Yellowhead County,MD,11236,11332,11319,11360,11314,11297,11438
4814,4814019,Hinton,T,10143,10108,10108,10218,10244,10116,10087
4814,4814024,Edson,T,8632,8466,8316,8258,8097,8010,7903
4814,4814028,Improvement District No. 25 Willmore Wilderness,ID,0,0,0,0,0,0,0
4815,4815007,Crowsnest Pass,SM,5796,5706,5712,5712,5634,5696,5642
4815,4815013,Kananaskis,ID,234,245,253,266,283,281,262
4815,4815015,Bighorn No. 8,MD,1378,1440,1474,1516,1551,1586,1607
4815,4815023,Canmore,T,14646,14662,14581,14463,14550,14469,14530
4815,4815027,Ghost Lake,SV,84,86,88,88,94,102,100
4815,4815030,Waiparous,SV,50,49,49,48,46,45,44
4815,4815032,Improvement District No. 9 Banff,ID,1089,1085,1074,1045,986,853,856
4815,4815033,Jasper,SM,4822,4790,4712,4560,4408,4220,4113
4815,4815035,Banff,T,8271,8618,8745,8937,9069,8960,9656
4815,4815037,Improvement District No. 12 Jasper Park,ID,55,49,43,44,41,40,37
4815,4815045,Ranchland No. 66,MD,96,96,88,87,86,86,84
4815,4815802,"Stoney 142, 143, 144",IRI,3891,3922,3953,3991,4052,4052,4053
4815,4815815,Stoney 142B,IRI,10,10,10,10,10,10,10
4816,4816037,Wood Buffalo1 7,SM,73511,71676,72541,73422,73939,73649,74532
4816,4816051,Improvement District No. 24 Wood Buffalo,ID,667,681,699,718,743,766,792
4816,4816810,Fort Mckay 1741 7,IRI,,745,745,741,741,732,725
4816,4816817,Janvier 1941 7,IRI,429,424,428,431,431,433,433
4816,4816821,Gregoire Lake 176,IRI,194,194,194,194,195,194,193
4816,4816822,Gregoire Lake 176A,IRI,133,133,133,134,134,134,134
4816,4816831,Chipewyan 201A5 7,IRI,0,0,0,0,0,--,--
4816,4816849,Old Fort 217,IRI,0,0,0,0,0,0,0
4816,4816850,Allison Bay 219,IRI,129,131,131,132,135,135,135
4816,4816852,Dog Head 218,IRI,100,100,100,100,100,99,99
4816,4816859,Fort Mackay1 7,S-É,758,--,--,--,--,--,--
4816,4816860,Thebathi 1961 7,IRI,20,20,21,22,21,21,21
4816,4816861,Thabacha Náre 196A,IRI,27,27,27,27,27,27,27
4817,4817021,High Prairie,T,2631,2582,2532,2506,2407,2305,2386
4817,4817024,Swan Hills,T,1327,1307,1310,1275,1234,1200,1265
4817,4817026,Northern Sunrise County1 7,MD,1923,1941,1867,1822,1770,1742,1752
4817,4817027,Big Lakes County,MD,5736,5694,5668,5604,5528,5544,5471
4817,4817029,Slave Lake,T,6879,6820,6720,6638,6538,6386,6377
4817,4817031,Opportunity No. 171 7,MD,3264,3317,3336,3342,3305,3330,3333
4817,4817033,Lesser Slave River No.124,MD,2862,2830,2797,2777,2738,2690,2681
4817,4817039,Nampa,VL,373,372,354,374,373,395,429
4817,4817062,Clear Hills1 7,MD,3096,3080,3108,3159,3130,3170,3170
4817,4817064,Hines Creek,VL,354,336,345,325,298,300,313
4817,4817076,Northern Lights County,MD,4293,4326,4283,4268,4187,4207,4189
4817,4817078,Manning,T,1215,1176,1172,1151,1104,1068,1070
